id,popularity
020gYw7juUaNs2tLYMlfms,0
022wkcvRBeCFJuZjWzLuQw,24
0233dmODqfxbCpHQmspl5e,43
02D9uD9WQb834Lb54xCvDS,55
02DoXNeIVYvONhTk1fGQrz,0
02E2oPfWBE0hTyKt5sEUQZ,16
02Ey48n33H3erWJRZAtTFj,59
02F1n2ijbx02hEnhhRk4IV,39
02FZ7CS69ZwsLQMngR3rhW,41
02FayRZAhl0inGus2LmdPN,33
02FjtTsZwY2Gmk5TMpPI36,0
02GwPAncasVL82yC7y2hmN,55
02H8JYd2hItFqfppgu5efp,0
02HUcZIF7Z2RqSvAxdRPqi,0
02I9nZQLbMcaCiucq4VoXd,0
02IxhazqV9GcLz2dJYm6an,0
02JIdsrod3BYucThfUFDUX,63
02KG9DpLT3bV4fzUM1bORW,65
02KGkBz8Tyc9TB2RqCd9Z5,49
02KgB1Qyk4PrFweUMGl9NO,45
02LAK7qT1wya0klSeNO96f,56
02LJPmr3HZSTgFXqcmQXiX,10
02M6vucOvmRfMxTXDUwRXu,69
02MdksRk96YQj2iTN7aCgf,0
02NDo3Vywdl5U2QPeIk9iB,38
02O71P5xudugRmFCFsQe9E,44
02OBEsgNfL0u9AGDUOIsDU,48
02RkunUrCBLE5J6jY56QH3,50
02SHhf0kBy4BqEg4C76sh2,0
02SQcBSULnUUm3QHxbF8H9,0
02SUyCzxfqllXeEUqVNMVv,41
02T1Oqr7tohLKjEwLbNa76,0
02TQFXm2cV6uwOr2OmlYBC,56
02UFwtmJ0ogLQWMx43Okuh,59
02acUMylPHMjJ9miDc9b38,58
02b5L9jExmkRTdUTqXFzmR,51
02bKaAG61tMw9c63fzKXal,66
02bMryG4ZLKreMbXROVuwz,33
02cO8JBZT4Rx5BJ1qbe2uh,41
02dwHTP8NS3rOaOWhg8j7V,43
02eD9ymfJOJOhM97HYp5R9,67
02ePjHjIiszSYqeLykvpTN,53
02eiQD6EKwJqnhgQPBq2Ow,0
02fXgTUWoo3CdwCAzBh35l,26
02ff3bmQlY95UMwnNZlEU0,23
02fiVilPtgr2v54oU7V0Tz,47
02gV5Zc9ctbZxD1uTNIok5,0
02gifbHrxakrPqKJM5H3TV,46
02h8atXhtnZZudoDFAo8jm,29
02hI9MoVLnCI02AyqoCTH9,32
02hZI7ecPijbO156E9d4iE,48
02iCjWBd2cOMbTnMs5Zek8,49
02ijrRwktEeo9rx8SZgbWa,14
02j4LUt4cDBEx2JbgkAnaH,0
02jYQ47eGc0Dm9JiOcLBJ7,42
02jfod8oZM2GzowjDmOa7P,27
02js6iWIO0ksg6ACwzsKXA,0
02kdNcUqZRgXwQiYr92gZW,33
02lTDOxHeXTHsdwXoz6lpC,63
02luOsVJEhcVH5Zf3n7Gq6,22
02m3T1O1POztLYN5cmUyTr,24
02mQcDoU5cn15U6tqZmL4e,47
02mR2D5tNN6Eb7qCspf0Hj,42
